ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-26T11:47:19.072+02:00,25.62,1.49,-1.69,11.83,-0.12,-0.09,-0.0,31.35,1445
2026-08-26T11:47:20.071+02:00,25.62,1.63,-1.37,11.26,-0.09,-0.06,0.0,31.4,1007
2026-08-26T11:47:21.071+02:00,25.62,1.78,-1.83,12.2,-0.12,-0.08,0.02,31.4,1257
2026-08-26T11:47:22.070+02:00,25.62,1.44,-1.32,11.36,-0.11,-0.07,0.01,31.35,1345
2026-08-26T11:47:23.070+02:00,25.62,1.69,-1.66,11.85,-0.12,-0.08,0.0,31.31,1308
2026-08-26T11:47:24.069+02:00,25.62,1.61,-1.49,11.29,-0.1,-0.08,0.0,31.45,1403
2026-08-26T11:47:25.069+02:00,25.62,1.47,-1.82,11.33,-0.11,-0.07,0.02,31.31,1150
2026-08-26T11:47:26.069+02:00,25.62,1.45,-1.62,11.33,-0.11,-0.07,0.01,31.35,2077
2026-08-26T11:47:27.073+02:00,25.62,1.76,-1.71,12.09,-0.11,-0.08,-0.0,31.31,1612
2026-08-26T11:47:28.068+02:00,25.62,1.89,-1.01,11.18,-0.11,-0.08,0.0,31.35,1006
2026-08-26T11:47:29.068+02:00,25.62,1.45,-1.76,11.76,-0.11,-0.07,0.02,31.49,909
2026-08-26T11:47:30.068+02:00,25.62,1.52,-1.3,11.17,-0.1,-0.07,0.01,31.45,2710
2026-08-26T11:47:31.067+02:00,25.62,1.99,-1.95,12.3,-0.1,-0.07,0.0,31.35,2584
2026-08-26T11:47:32.067+02:00,25.62,1.62,-1.24,11.27,-0.13,-0.09,0.01,31.45,1799
2026-08-26T11:47:33.067+02:00,25.62,1.46,-1.3,11.36,-0.11,-0.07,0.01,31.45,1132
2026-08-26T11:47:34.067+02:00,25.62,1.65,-1.61,11.95,-0.12,-0.08,0.0,31.49,943
2026-08-26T11:47:35.066+02:00,25.62,1.77,-1.15,11.1,-0.1,-0.07,0.01,31.54,1052
2026-08-26T11:47:36.066+02:00,25.62,1.52,-1.97,11.77,-0.1,-0.07,0.02,31.49,2679
